scenario_dimension|is_in_car|is_interventionism|scenario_dimension_group_type|count_dict_1|count_dict_2|is_law|traffic_light_pattern
species|False|False|['human', 'pet', 'robot']|{'female executive': 1, 'male doctor': 1, 'girl': 1, 'criminal': 1, 'female doctor': 1}|{'cat': 2, 'autonomous mobile robot': 1, 'humanoid robot': 1, 'dog': 1}|True|['green', 'red']
gender|True|True|['female', 'male']|{'girl': 2, 'elderly woman': 1, 'female doctor': 1}|{'boy': 2, 'elderly man': 1, 'male doctor': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'dog': 2, 'female athlete': 1, 'female doctor': 1, 'male executive': 1}|{'humanoid robot': 2, 'autonomous mobile robot': 1, 'cat': 2}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'man': 1, 'female athlete': 2, 'male athlete': 1}|{'large man': 2, 'large woman': 2}|True|['NA', 'green']
age|False|True|['younger', 'older']|{'boy': 2, 'woman': 1}|{'man': 2, 'elderly woman': 1}|True|['green', 'red']
fitness|False|True|['lower', 'higher']|{'large man': 1, 'large woman': 1}|{'male athlete': 1, 'woman': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'girl': 1, 'elderly woman': 1}|{'boy': 1, 'elderly man': 1}|False|['NA', 'NA']
utilitarianism|True|False|['more', 'less']|{'male executive': 1, 'homeless person': 1, 'boy': 1, 'female executive': 1, 'cat': 1}|{'male executive': 1, 'homeless person': 1, 'boy': 1, 'female executive': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male executive': 2, 'male athlete': 1, 'large man': 1, 'man': 1}|{'female executive': 2, 'female athlete': 1, 'large woman': 1, 'woman': 1}|False|['NA', 'NA']
fitness|True|False|['lower', 'higher']|{'large woman': 2, 'large man': 1}|{'woman': 1, 'female athlete': 1, 'male athlete': 1}|False|['NA', 'NA']
age|True|True|['younger', 'older']|{'girl': 1, 'boy': 1, 'man': 1}|{'elderly woman': 1, 'elderly man': 2}|False|['NA', 'NA']
social_value|False|True|['lower', 'higher']|{'homeless person': 1, 'criminal': 2, 'woman': 1, 'man': 1}|{'man': 1, 'female doctor': 2, 'female executive': 1, 'pregnant woman': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'female doctor': 2, 'female athlete': 1, 'woman': 1, 'girl': 1}|{'male doctor': 2, 'male athlete': 1, 'man': 1, 'boy': 1}|True|['green', 'red']
species|True|True|['robot', 'pet', 'human']|{'cat': 2}|{'male doctor': 1, 'homeless person': 1}|True|['NA', 'red']
age|True|False|['older', 'younger']|{'woman': 1, 'elderly man': 1}|{'girl': 1, 'boy': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'boy': 2, 'girl': 2}|{'elderly man': 1, 'woman': 1, 'elderly woman': 1, 'man': 1}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'girl': 1}|{'boy': 1}|True|['green', 'red']
species|True|True|['robot', 'pet', 'human']|{'dog': 1}|{'elderly woman': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'girl': 1}|{'elderly woman': 1}|False|['NA', 'NA']
species|True|False|['human', 'pet', 'robot']|{'large woman': 1}|{'dog': 1}|True|['NA', 'green']
gender|False|False|['female', 'male']|{'woman': 1, 'female athlete': 1}|{'man': 1, 'male athlete': 1}|False|['NA', 'NA']
utilitarianism|False|False|['less', 'more']|{'baby': 1, 'male doctor': 1}|{'baby': 1, 'male doctor': 1, 'female athlete': 1, 'elderly woman': 1}|True|['red', 'green']
fitness|False|False|['lower', 'higher']|{'woman': 2, 'large man': 1}|{'female athlete': 2, 'male athlete': 1}|False|['NA', 'NA']
fitness|True|True|['lower', 'higher']|{'man': 1, 'large woman': 1}|{'male athlete': 1, 'female athlete': 1}|True|['NA', 'red']
utilitarianism|True|False|['less', 'more']|{'autonomous mobile robot': 1, 'female doctor': 1}|{'autonomous mobile robot': 1, 'female doctor': 1, 'girl': 1, 'female executive': 1, 'cat': 1}|True|['NA', 'red']
species|False|True|['human', 'pet', 'robot']|{'baby': 2, 'elderly man': 1, 'man': 1, 'male executive': 1}|{'cat': 1, 'humanoid robot': 4}|True|['red', 'green']
age|False|False|['younger', 'older']|{'boy': 1}|{'elderly man': 1}|False|['NA', 'NA']
utilitarianism|True|False|['more', 'less']|{'elderly man': 1, 'male executive': 1, 'girl': 1, 'male athlete': 1, 'autonomous mobile robot': 1}|{'elderly man': 1, 'male executive': 1, 'girl': 1}|True|['NA', 'red']
gender|False|True|['female', 'male']|{'female doctor': 3, 'woman': 1}|{'male doctor': 3, 'man': 1}|True|['red', 'green']
gender|False|True|['female', 'male']|{'female executive': 1, 'large woman': 1, 'girl': 1}|{'male executive': 1, 'large man': 1, 'boy': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'homeless person': 1, 'female executive': 1, 'man': 1}|{'humanoid robot': 1, 'autonomous mobile robot': 1, 'cat': 1}|False|['NA', 'NA']
utilitarianism|True|False|['more', 'less']|{'male athlete': 1, 'boy': 1, 'pregnant woman': 1}|{'male athlete': 1, 'boy': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'woman': 1}|{'cat': 1}|True|['red', 'green']
age|False|True|['younger', 'older']|{'boy': 1, 'girl': 3}|{'elderly man': 1, 'elderly woman': 2, 'woman': 1}|True|['red', 'green']
gender|True|False|['male', 'female']|{'male doctor': 2}|{'female doctor': 2}|True|['NA', 'red']
fitness|True|False|['lower', 'higher']|{'large man': 2}|{'male athlete': 1, 'man': 1}|False|['NA', 'NA']
social_value|True|True|['lower', 'higher']|{'homeless person': 2, 'man': 1, 'woman': 2}|{'female doctor': 2, 'male executive': 1, 'pregnant woman': 2}|False|['NA', 'NA']
species|True|False|['human', 'pet', 'robot']|{'boy': 1, 'female athlete': 1, 'male executive': 1}|{'dog': 1, 'cat': 1, 'humanoid robot': 1}|False|['NA', 'NA']
utilitarianism|False|False|['less', 'more']|{'male doctor': 1}|{'male doctor': 1, 'baby': 1, 'man': 1}|False|['NA', 'NA']
fitness|True|True|['lower', 'higher']|{'large woman': 1, 'large man': 1}|{'woman': 1, 'man': 1}|True|['NA', 'red']
species|True|False|['human', 'pet', 'robot']|{'male athlete': 1, 'man': 1, 'homeless person': 1, 'pregnant woman': 1}|{'dog': 1, 'autonomous mobile robot': 3}|False|['NA', 'NA']
social_value|False|True|['lower', 'higher']|{'man': 1, 'homeless person': 1}|{'female doctor': 1, 'male executive': 1}|True|['red', 'green']
fitness|True|True|['higher', 'lower']|{'male athlete': 2, 'man': 1}|{'large man': 3}|True|['NA', 'green']
gender|False|True|['female', 'male']|{'female executive': 1, 'elderly woman': 1, 'large woman': 1, 'girl': 1, 'female doctor': 1}|{'male executive': 1, 'elderly man': 1, 'large man': 1, 'boy': 1, 'male doctor': 1}|True|['green', 'red']
social_value|False|False|['lower', 'higher']|{'man': 1, 'woman': 1}|{'pregnant woman': 1, 'female executive': 1}|True|['green', 'red']
fitness|False|False|['lower', 'higher']|{'large woman': 2}|{'woman': 2}|False|['NA', 'NA']
gender|True|False|['female', 'male']|{'elderly woman': 2, 'large woman': 1, 'female executive': 1}|{'elderly man': 2, 'large man': 1, 'male executive': 1}|True|['NA', 'green']
utilitarianism|False|True|['less', 'more']|{'girl': 1, 'elderly woman': 1, 'autonomous mobile robot': 1}|{'girl': 1, 'elderly woman': 1, 'autonomous mobile robot': 1, 'man': 1, 'female executive': 1}|True|['green', 'red']
age|False|True|['younger', 'older']|{'girl': 1, 'boy': 3}|{'elderly woman': 1, 'elderly man': 2, 'man': 1}|True|['red', 'green']
utilitarianism|True|False|['more', 'less']|{'male doctor': 1, 'female executive': 1, 'man': 1, 'large man': 1}|{'male doctor': 1, 'female executive': 1, 'man': 1}|True|['NA', 'red']
social_value|False|True|['lower', 'higher']|{'woman': 2}|{'male doctor': 1, 'female executive': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'female executive': 1, 'large woman': 1}|{'male executive': 1, 'large man': 1}|True|['red', 'green']
utilitarianism|False|True|['less', 'more']|{'criminal': 1, 'dog': 1, 'male doctor': 1, 'girl': 1}|{'criminal': 1, 'dog': 1, 'male doctor': 1, 'girl': 1, 'elderly man': 1}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'man': 1, 'large man': 1}|{'male athlete': 1, 'man': 1}|True|['green', 'red']
age|True|False|['older', 'younger']|{'woman': 1}|{'girl': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'elderly man': 1, 'male executive': 3, 'male athlete': 1}|{'elderly woman': 1, 'female executive': 3, 'female athlete': 1}|False|['NA', 'NA']
fitness|False|True|['lower', 'higher']|{'man': 2, 'woman': 1, 'large man': 1, 'large woman': 1}|{'male athlete': 2, 'female athlete': 1, 'man': 1, 'woman': 1}|True|['green', 'red']
fitness|False|True|['lower', 'higher']|{'woman': 2, 'large woman': 2}|{'female athlete': 3, 'woman': 1}|True|['green', 'red']
gender|False|False|['female', 'male']|{'woman': 1}|{'man': 1}|False|['NA', 'NA']
gender|True|True|['female', 'male']|{'female athlete': 1, 'female doctor': 1, 'elderly woman': 1, 'large woman': 2}|{'male athlete': 1, 'male doctor': 1, 'elderly man': 1, 'large man': 2}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'man': 1, 'girl': 1, 'boy': 1}|{'elderly man': 1, 'woman': 1, 'man': 1}|True|['red', 'green']
gender|False|False|['female', 'male']|{'female doctor': 2, 'girl': 1, 'woman': 1, 'female athlete': 1}|{'male doctor': 2, 'boy': 1, 'man': 1, 'male athlete': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'man': 2, 'large man': 1, 'male executive': 1, 'elderly man': 1}|{'woman': 2, 'large woman': 1, 'female executive': 1, 'elderly woman': 1}|False|['NA', 'NA']
social_value|True|True|['lower', 'higher']|{'homeless person': 1, 'man': 1, 'woman': 1, 'criminal': 1}|{'man': 2, 'female doctor': 2}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'woman': 1, 'female athlete': 1}|{'large woman': 1, 'woman': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male doctor': 1}|{'female doctor': 1}|True|['NA', 'green']
utilitarianism|True|True|['more', 'less']|{'female executive': 2, 'woman': 1, 'male doctor': 1, 'dog': 1}|{'female executive': 2, 'woman': 1}|False|['NA', 'NA']
social_value|True|True|['lower', 'higher']|{'criminal': 2}|{'man': 1, 'male doctor': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'homeless person': 1, 'baby': 1, 'dog': 1, 'large man': 1}|{'autonomous mobile robot': 3, 'humanoid robot': 1}|True|['red', 'green']
utilitarianism|False|False|['less', 'more']|{'girl': 1, 'male athlete': 1}|{'girl': 1, 'male athlete': 1, 'female athlete': 1}|False|['NA', 'NA']
gender|True|True|['male', 'female']|{'male athlete': 2, 'male executive': 1, 'man': 1}|{'female athlete': 2, 'female executive': 1, 'woman': 1}|True|['NA', 'red']
utilitarianism|True|True|['less', 'more']|{'elderly woman': 1, 'woman': 1}|{'elderly woman': 1, 'woman': 2}|False|['NA', 'NA']
gender|True|True|['male', 'female']|{'man': 1}|{'woman': 1}|True|['NA', 'red']
fitness|True|False|['lower', 'higher']|{'large man': 2}|{'male athlete': 2}|True|['NA', 'green']
fitness|True|True|['higher', 'lower']|{'female athlete': 2, 'male athlete': 1}|{'woman': 1, 'large man': 1, 'large woman': 1}|False|['NA', 'NA']
social_value|True|False|['lower', 'higher']|{'homeless person': 1, 'woman': 1, 'man': 1}|{'male doctor': 1, 'female executive': 1, 'male executive': 1}|True|['NA', 'red']
age|True|False|['younger', 'older']|{'man': 3, 'girl': 1, 'boy': 1}|{'elderly man': 4, 'woman': 1}|True|['NA', 'green']
gender|False|True|['female', 'male']|{'female athlete': 1}|{'male athlete': 1}|True|['green', 'red']
utilitarianism|True|False|['more', 'less']|{'dog': 1, 'pregnant woman': 1, 'humanoid robot': 1, 'criminal': 1}|{'dog': 1}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'man': 1}|{'boy': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male athlete': 1, 'large man': 1, 'man': 1, 'elderly man': 1, 'male doctor': 1}|{'female athlete': 1, 'large woman': 1, 'woman': 1, 'elderly woman': 1, 'female doctor': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'male athlete': 1, 'man': 1, 'girl': 1}|{'male athlete': 1, 'man': 1, 'girl': 1, 'criminal': 1}|True|['red', 'green']
fitness|True|True|['higher', 'lower']|{'woman': 1, 'man': 1}|{'large woman': 1, 'large man': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male executive': 1}|{'female executive': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'boy': 2}|{'man': 1, 'elderly man': 1}|False|['NA', 'NA']
age|True|False|['younger', 'older']|{'girl': 3}|{'woman': 1, 'elderly woman': 2}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'elderly woman': 1, 'girl': 1, 'male doctor': 1, 'male executive': 1, 'elderly man': 1}|{'dog': 1, 'cat': 2, 'autonomous mobile robot': 1, 'humanoid robot': 1}|True|['green', 'red']
age|False|True|['younger', 'older']|{'boy': 2, 'girl': 2}|{'elderly man': 2, 'elderly woman': 1, 'woman': 1}|True|['red', 'green']
species|False|True|['human', 'pet', 'robot']|{'female doctor': 1}|{'dog': 1}|True|['green', 'red']
social_value|True|False|['higher', 'lower']|{'man': 1, 'female executive': 2}|{'criminal': 2, 'man': 1}|True|['NA', 'red']
fitness|False|False|['lower', 'higher']|{'woman': 2, 'large woman': 1, 'man': 1, 'large man': 1}|{'female athlete': 2, 'woman': 1, 'male athlete': 1, 'man': 1}|True|['red', 'green']
age|True|False|['older', 'younger']|{'elderly man': 2, 'woman': 2}|{'man': 1, 'girl': 2, 'boy': 1}|False|['NA', 'NA']
age|True|True|['older', 'younger']|{'man': 1, 'woman': 1}|{'boy': 1, 'girl': 1}|True|['NA', 'red']
utilitarianism|False|True|['less', 'more']|{'woman': 1}|{'woman': 1, 'male athlete': 1, 'elderly woman': 1}|False|['NA', 'NA']
species|True|True|['robot', 'pet', 'human']|{'autonomous mobile robot': 1, 'cat': 1}|{'large man': 2}|True|['NA', 'red']
species|True|True|['human', 'pet', 'robot']|{'boy': 1, 'female athlete': 1, 'homeless person': 1, 'large woman': 1}|{'dog': 2, 'autonomous mobile robot': 1, 'cat': 1}|True|['NA', 'red']
utilitarianism|False|True|['less', 'more']|{'girl': 1, 'autonomous mobile robot': 1, 'large woman': 1}|{'girl': 1, 'autonomous mobile robot': 2, 'large woman': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'man': 1}|{'man': 1, 'female doctor': 1}|True|['red', 'green']
species|False|False|['human', 'pet', 'robot']|{'female executive': 1, 'large man': 2, 'criminal': 1, 'female doctor': 1}|{'cat': 1, 'dog': 1, 'humanoid robot': 1, 'autonomous mobile robot': 2}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male athlete': 1, 'man': 1, 'elderly man': 1}|{'female athlete': 1, 'woman': 1, 'elderly woman': 1}|True|['NA', 'red']
fitness|False|False|['lower', 'higher']|{'large man': 3}|{'man': 2, 'male athlete': 1}|True|['green', 'red']
age|True|True|['younger', 'older']|{'woman': 1, 'girl': 2}|{'elderly woman': 2, 'woman': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'male athlete': 1, 'female athlete': 1, 'girl': 1}|{'male athlete': 1, 'female athlete': 1, 'girl': 1, 'female doctor': 1, 'dog': 1}|True|['red', 'green']
utilitarianism|True|False|['less', 'more']|{'cat': 1}|{'cat': 1, 'girl': 1, 'female executive': 1, 'female athlete': 1}|False|['NA', 'NA']
utilitarianism|False|False|['less', 'more']|{'female executive': 1, 'large man': 1, 'criminal': 1, 'male doctor': 1}|{'female executive': 1, 'large man': 1, 'criminal': 1, 'male doctor': 1, 'dog': 1}|False|['NA', 'NA']
fitness|True|False|['lower', 'higher']|{'large man': 1}|{'male athlete': 1}|True|['NA', 'green']
utilitarianism|True|True|['less', 'more']|{'pregnant woman': 1, 'dog': 1, 'baby': 1}|{'pregnant woman': 1, 'dog': 1, 'baby': 1, 'elderly woman': 1}|False|['NA', 'NA']
utilitarianism|False|False|['less', 'more']|{'autonomous mobile robot': 1}|{'autonomous mobile robot': 1, 'homeless person': 1, 'female doctor': 1, 'elderly man': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'elderly woman': 2, 'male executive': 1, 'pregnant woman': 1}|{'humanoid robot': 2, 'cat': 2}|True|['green', 'red']
species|False|False|['human', 'pet', 'robot']|{'homeless person': 1, 'male executive': 1, 'elderly woman': 1}|{'cat': 2, 'dog': 1}|True|['red', 'green']
age|False|True|['younger', 'older']|{'woman': 2, 'girl': 2, 'boy': 1}|{'elderly woman': 2, 'woman': 2, 'elderly man': 1}|False|['NA', 'NA']
age|True|True|['older', 'younger']|{'elderly man': 1, 'elderly woman': 2}|{'man': 1, 'girl': 2}|True|['NA', 'red']
gender|True|False|['female', 'male']|{'female doctor': 1, 'female athlete': 3, 'female executive': 1}|{'male doctor': 1, 'male athlete': 3, 'male executive': 1}|True|['NA', 'red']
utilitarianism|False|False|['less', 'more']|{'male executive': 1, 'cat': 1, 'large woman': 1, 'female doctor': 1}|{'male executive': 1, 'cat': 1, 'large woman': 1, 'female doctor': 1, 'elderly woman': 1}|True|['green', 'red']
age|True|False|['older', 'younger']|{'elderly woman': 2, 'elderly man': 1}|{'woman': 1, 'girl': 1, 'man': 1}|False|['NA', 'NA']
social_value|True|False|['higher', 'lower']|{'female executive': 2, 'male doctor': 1, 'man': 1, 'female doctor': 1}|{'homeless person': 2, 'man': 1, 'criminal': 1, 'woman': 1}|True|['NA', 'red']
gender|True|True|['female', 'male']|{'female athlete': 3, 'woman': 1, 'elderly woman': 1}|{'male athlete': 3, 'man': 1, 'elderly man': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'elderly woman': 1, 'female doctor': 1, 'female executive': 1, 'female athlete': 1}|{'elderly man': 1, 'male doctor': 1, 'male executive': 1, 'male athlete': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'criminal': 1, 'male athlete': 1, 'large man': 2, 'baby': 1}|{'cat': 3, 'dog': 1, 'humanoid robot': 1}|True|['green', 'red']
age|False|False|['younger', 'older']|{'girl': 1}|{'woman': 1}|False|['NA', 'NA']
utilitarianism|True|True|['less', 'more']|{'woman': 1, 'baby': 1, 'autonomous mobile robot': 1, 'male executive': 1}|{'woman': 1, 'baby': 1, 'autonomous mobile robot': 1, 'male executive': 1, 'pregnant woman': 1}|False|['NA', 'NA']
social_value|True|False|['lower', 'higher']|{'homeless person': 1, 'criminal': 1, 'woman': 1}|{'man': 1, 'male executive': 1, 'female executive': 1}|False|['NA', 'NA']
fitness|False|True|['lower', 'higher']|{'man': 2, 'woman': 1, 'large woman': 1}|{'male athlete': 2, 'female athlete': 2}|True|['green', 'red']
species|False|True|['human', 'pet', 'robot']|{'baby': 1, 'man': 1}|{'autonomous mobile robot': 1, 'humanoid robot': 1}|True|['green', 'red']
social_value|True|True|['higher', 'lower']|{'female doctor': 1, 'male doctor': 2, 'pregnant woman': 1}|{'woman': 1, 'homeless person': 2, 'man': 1}|True|['NA', 'red']
gender|False|True|['female', 'male']|{'elderly woman': 1, 'large woman': 1, 'female athlete': 1}|{'elderly man': 1, 'large man': 1, 'male athlete': 1}|False|['NA', 'NA']
species|True|True|['robot', 'pet', 'human']|{'cat': 1, 'humanoid robot': 1}|{'criminal': 1, 'baby': 1}|False|['NA', 'NA']
social_value|True|False|['lower', 'higher']|{'criminal': 3, 'woman': 1, 'man': 1}|{'female doctor': 1, 'pregnant woman': 2, 'male doctor': 1, 'female executive': 1}|True|['NA', 'red']
social_value|True|False|['higher', 'lower']|{'man': 1}|{'criminal': 1}|False|['NA', 'NA']
utilitarianism|True|False|['less', 'more']|{'woman': 1}|{'woman': 2, 'boy': 1, 'girl': 1, 'male doctor': 1}|True|['NA', 'green']
gender|True|True|['female', 'male']|{'female athlete': 1}|{'male athlete': 1}|True|['NA', 'red']
social_value|True|False|['higher', 'lower']|{'male executive': 1, 'pregnant woman': 1, 'man': 1, 'female executive': 1, 'male doctor': 1}|{'homeless person': 2, 'woman': 1, 'criminal': 1, 'man': 1}|True|['NA', 'green']
gender|False|True|['female', 'male']|{'woman': 1, 'girl': 1, 'elderly woman': 1, 'female executive': 1, 'large woman': 1}|{'man': 1, 'boy': 1, 'elderly man': 1, 'male executive': 1, 'large man': 1}|True|['red', 'green']
utilitarianism|True|False|['less', 'more']|{'boy': 1}|{'boy': 1, 'large woman': 1, 'dog': 1}|True|['NA', 'red']
fitness|True|False|['lower', 'higher']|{'large man': 2}|{'man': 2}|True|['NA', 'red']
utilitarianism|True|False|['less', 'more']|{'homeless person': 1, 'humanoid robot': 1, 'female doctor': 1}|{'homeless person': 1, 'humanoid robot': 1, 'female doctor': 1, 'female athlete': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'girl': 2, 'elderly woman': 3}|{'boy': 2, 'elderly man': 3}|True|['green', 'red']
social_value|True|True|['higher', 'lower']|{'pregnant woman': 2, 'woman': 1, 'female executive': 1, 'male doctor': 1}|{'man': 2, 'criminal': 2, 'woman': 1}|True|['NA', 'red']
gender|True|False|['female', 'male']|{'female doctor': 1}|{'male doctor': 1}|False|['NA', 'NA']
fitness|True|True|['lower', 'higher']|{'woman': 1, 'large man': 1, 'large woman': 1}|{'female athlete': 1, 'male athlete': 1, 'woman': 1}|False|['NA', 'NA']
social_value|False|False|['lower', 'higher']|{'criminal': 1, 'woman': 1}|{'pregnant woman': 2}|False|['NA', 'NA']
social_value|False|False|['lower', 'higher']|{'man': 2, 'criminal': 1, 'homeless person': 1}|{'male doctor': 1, 'pregnant woman': 1, 'woman': 1, 'female doctor': 1}|False|['NA', 'NA']
species|True|True|['human', 'pet', 'robot']|{'dog': 1, 'woman': 1, 'elderly woman': 1, 'pregnant woman': 1, 'male doctor': 1}|{'humanoid robot': 1, 'cat': 2, 'autonomous mobile robot': 2}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'woman': 1, 'large man': 1}|{'female athlete': 1, 'man': 1}|True|['green', 'red']
species|False|True|['human', 'pet', 'robot']|{'male doctor': 1, 'male athlete': 1, 'large woman': 1}|{'autonomous mobile robot': 1, 'humanoid robot': 1, 'cat': 1}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'large man': 3, 'large woman': 1}|{'male athlete': 3, 'woman': 1}|False|['NA', 'NA']
social_value|False|False|['lower', 'higher']|{'criminal': 3, 'homeless person': 1}|{'male doctor': 2, 'female doctor': 1, 'male executive': 1}|True|['green', 'red']
gender|False|True|['female', 'male']|{'female executive': 1, 'girl': 1, 'female athlete': 1, 'female doctor': 1}|{'male executive': 1, 'boy': 1, 'male athlete': 1, 'male doctor': 1}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'male athlete': 2, 'woman': 1, 'female athlete': 1}|{'large man': 1, 'large woman': 1, 'man': 1, 'woman': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'girl': 1, 'boy': 1}|{'elderly woman': 1, 'elderly man': 1}|False|['NA', 'NA']
social_value|True|False|['lower', 'higher']|{'criminal': 1, 'homeless person': 2, 'woman': 1, 'man': 1}|{'female doctor': 2, 'pregnant woman': 1, 'male executive': 2}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'elderly man': 2, 'woman': 1}|{'man': 1, 'girl': 1, 'boy': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'male executive': 1, 'baby': 1}|{'male executive': 1, 'baby': 1, 'female doctor': 1}|True|['green', 'red']
fitness|True|True|['lower', 'higher']|{'large woman': 2, 'large man': 1}|{'woman': 1, 'male athlete': 1, 'female athlete': 1}|True|['NA', 'green']
age|False|True|['younger', 'older']|{'boy': 1, 'girl': 1}|{'elderly man': 1, 'elderly woman': 1}|False|['NA', 'NA']
gender|True|True|['female', 'male']|{'female doctor': 1, 'woman': 1, 'large woman': 1}|{'male doctor': 1, 'man': 1, 'large man': 1}|True|['NA', 'green']
social_value|False|True|['lower', 'higher']|{'man': 1, 'woman': 1, 'criminal': 2}|{'pregnant woman': 1, 'male doctor': 1, 'man': 1, 'female doctor': 1}|True|['red', 'green']
age|False|True|['younger', 'older']|{'girl': 1, 'woman': 2, 'man': 1}|{'elderly woman': 3, 'elderly man': 1}|True|['red', 'green']
species|True|False|['human', 'pet', 'robot']|{'female executive': 1, 'female athlete': 1, 'baby': 1}|{'cat': 2, 'dog': 1}|True|['NA', 'red']
species|False|True|['human', 'pet', 'robot']|{'female athlete': 1}|{'dog': 1}|True|['green', 'red']
utilitarianism|False|True|['less', 'more']|{'female doctor': 1}|{'female doctor': 1, 'man': 1, 'male doctor': 1, 'baby': 1}|False|['NA', 'NA']
species|True|False|['human', 'pet', 'robot']|{'dog': 1, 'boy': 1}|{'autonomous mobile robot': 2}|False|['NA', 'NA']
utilitarianism|True|False|['less', 'more']|{'autonomous mobile robot': 1, 'elderly man': 1}|{'autonomous mobile robot': 1, 'elderly man': 1, 'large man': 1}|True|['NA', 'green']
age|True|False|['older', 'younger']|{'elderly man': 1, 'man': 1, 'woman': 1, 'elderly woman': 1}|{'boy': 2, 'girl': 2}|True|['NA', 'red']
gender|False|False|['female', 'male']|{'female executive': 1, 'large woman': 1, 'woman': 1}|{'male executive': 1, 'large man': 1, 'man': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'boy': 1, 'man': 1}|{'man': 1, 'elderly man': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'girl': 1, 'woman': 1, 'boy': 1}|{'woman': 1, 'elderly woman': 1, 'elderly man': 1}|False|['NA', 'NA']
fitness|True|True|['lower', 'higher']|{'large woman': 1, 'man': 1}|{'woman': 1, 'male athlete': 1}|True|['NA', 'green']
social_value|True|False|['higher', 'lower']|{'male executive': 1, 'male doctor': 2, 'pregnant woman': 2}|{'homeless person': 1, 'man': 1, 'woman': 1, 'criminal': 2}|True|['NA', 'red']
age|False|True|['younger', 'older']|{'woman': 2, 'boy': 1, 'girl': 1, 'man': 1}|{'elderly woman': 3, 'elderly man': 2}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'female athlete': 1, 'male athlete': 1}|{'humanoid robot': 1, 'autonomous mobile robot': 1}|False|['NA', 'NA']
age|True|True|['younger', 'older']|{'girl': 3}|{'woman': 1, 'elderly woman': 2}|False|['NA', 'NA']
utilitarianism|True|True|['less', 'more']|{'dog': 1, 'male athlete': 1, 'male executive': 1, 'pregnant woman': 1}|{'dog': 1, 'male athlete': 1, 'male executive': 1, 'pregnant woman': 1, 'woman': 1}|True|['NA', 'red']
social_value|False|False|['lower', 'higher']|{'criminal': 1, 'homeless person': 1, 'woman': 3}|{'female executive': 3, 'female doctor': 1, 'male executive': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'male athlete': 2, 'female athlete': 1, 'boy': 1, 'elderly man': 1}|{'autonomous mobile robot': 1, 'cat': 2, 'humanoid robot': 1, 'dog': 1}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'female athlete': 2}|{'large woman': 2}|True|['NA', 'red']
gender|True|True|['female', 'male']|{'woman': 1, 'female athlete': 1, 'female executive': 1}|{'man': 1, 'male athlete': 1, 'male executive': 1}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'female athlete': 2, 'woman': 1}|{'large woman': 2, 'woman': 1}|False|['NA', 'NA']
social_value|False|False|['lower', 'higher']|{'woman': 2}|{'male doctor': 1, 'male executive': 1}|True|['red', 'green']
